date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:06	69114/69114	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/shop2.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/shop2.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:07	75774/75774	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/shop-product.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/shop-product.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:07	55183/55183	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/shop-cart.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/shop-cart.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:08	64098/64098	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/shop-checkout.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/shop-checkout.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:09	48783/48783	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/contact.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/contact.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:09	47059/47059	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:20%20GMT	https://sandbox.elemisthemes.com/contact2.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/contact2.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:09	48230/48230	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/contact3.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/contact3.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:10	61799/61799	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/career.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/career.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:10	55366/55366	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/career2.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/career2.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:11	49036/49036	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:20%20GMT	https://sandbox.elemisthemes.com/career-job.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/career-job.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:11	40163/40163	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/404.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/404.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:12	55593/55593	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/page-loader.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/page-loader.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:12	42209/42209	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:20%20GMT	https://sandbox.elemisthemes.com/signin.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/signin.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:12	42763/42763	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/signin2.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/signin2.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:13	42736/42736	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:20%20GMT	https://sandbox.elemisthemes.com/signup.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/signup.html	(from https://sandbox.elemisthemes.com/demo2.html)
00:04:13	43322/43322	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20May%202022%2013:42:08%20GMT	https://sandbox.elemisthemes.com/signup2.html	G:/projects/hardik%20group/theme%207/theme%207/sandbox.elemisthemes.com/signup2.html	(from https://sandbox.elemisthemes.com/demo2.html)
